Partition Key,Row Key,Timestamp,Log Timestamp,Level,Logger Name,Message,Machine Name,Exception
Client4Tenant1274,22F4778767AEF103_7FFFFFE5_ffd04c26a2d84dca893f58d99fc8c42b,5/3/2018 12:08:14 PM,05/03/2018 12:08:14,Info,TenantWorker,"End:fabric:/TenantWorkerApp/4/1274/TenantWorker, node=_mainpa_0",mainpa000000,""
Client4Tenant1274,22F4778767B87AF5_7FFFFFE6_ffd04c26a2d84dca893f58d99fc8c42b,5/3/2018 12:08:14 PM,05/03/2018 12:08:14,Info,TenantWorker,"Discovered SKU ENTERPRISEPACK for BT Corp7 QA",mainpa000000,""
Client4Tenant1274,22F4778767B87AF5_7FFFFFE7_ffd04c26a2d84dca893f58d99fc8c42b,5/3/2018 12:08:14 PM,05/03/2018 12:08:14,Info,TenantWorker,"Discovered SKU STANDARDPACK for BT Corp7 QA",mainpa000000,""
Client4Tenant1274,22F47787686101EC_7FFFFFE8_ffd04c26a2d84dca893f58d99fc8c42b,5/3/2018 12:08:14 PM,05/03/2018 12:08:13,Info,PowerShell,"Created PowerShell session for BinaryTreePowerShellUser.BT-AutoQA2@btcorp7.onmicrosoft.com to https://outlook.office365.com/PowerShell.",mainpa000000,""
Client4Tenant1274,22F477877036FD9D_7FFFFFE9_ffd04c26a2d84dca893f58d99fc8c42b,5/3/2018 12:08:01 PM,05/03/2018 12:08:00,Info,TenantWorker,"Discovered organization BT Corp7 QA for BT Corp7 QA",mainpa000000,""
Client4Tenant1274,22F47787707A202B_7FFFFFEA_ffd04c26a2d84dca893f58d99fc8c42b,5/3/2018 12:08:01 PM,05/03/2018 12:08:00,Info,TenantWorker,"Found 1 users.",mainpa000000,""
Client4Tenant1274,22F4778772B5825E_7FFFFFEB_ffd04c26a2d84dca893f58d99fc8c42b,5/3/2018 12:08:01 PM,05/03/2018 12:07:56,Info,PowerShell,"Created PowerShell session for BinaryTreePowerShellUser.BT-AutoQA2@btcorp7.onmicrosoft.com to https://outlook.office365.com/PowerShell.",mainpa000000,""
Client4Tenant1274,22F47787799A892A_7FFFFFEC_ffd04c26a2d84dca893f58d99fc8c42b,5/3/2018 12:07:47 PM,05/03/2018 12:07:44,Info,TenantWorker,"Found user: C7-Automation4@btcorp7.onmicrosoft.com in group: c7toc9smlgrp2",mainpa000000,""
Client4Tenant1274,22F47787799A892A_7FFFFFED_ffd04c26a2d84dca893f58d99fc8c42b,5/3/2018 12:07:47 PM,05/03/2018 12:07:44,Info,TenantWorker,"Found user: c7-automation3@btcorp7.onmicrosoft.com in group: c7toc9smlgrp2",mainpa000000,""
Client4Tenant1274,22F47787799CED0D_7FFFFFEE_ffd04c26a2d84dca893f58d99fc8c42b,5/3/2018 12:07:47 PM,05/03/2018 12:07:44,Info,TenantWorker,"Found user: C7-Automation1@btcorp7.onmicrosoft.com in group: c7toc9smlgrp2",mainpa000000,""
